Code,Last,Change,Change(%),GridFluctRatio,Freq,Volume,Value,Frg Buy,Frg Sell,Net Buy
BBTN,"1,155",Fall,35,2.94,"2,527","90,970","10,668,510","1,210,821","1,125,763","85,058"
ERAA,366,Fall,6,1.61,830,"79,392","2,923,011","1,526,428","1,446,690","79,738"
HRTA,"2,050",Fall,50,2.38,851,"16,470","3,413,159","802,545","723,517","79,028"
KETR,555,Rise,5,0.9,"1,034","126,413","6,972,189","1,407,952","1,329,392","78,560"
PADA,111,Fall,2,1.76,563,"68,316","787,043","897,425","821,880","75,545"
ELSA,550,Fall,10,1.78,"2,022","80,201","4,445,115","1,216,440","1,141,030","75,410"
GZCO,152,Rise,2,1.33,332,"16,702","253,487","539,236","463,849","75,387"
ISAP,25,Fall,1,3.84,326,"57,962","145,140","79,474","5,246","74,228"
GPRA,100,Fall,1,0.99,214,"492,838","4,928,282","515,122","446,726","68,396"
PART,115,Rise,1,0.87,494,"48,814","565,831","320,748","252,655","68,093"
DOOH,128,Rise,2,1.58,400,"41,790","537,896","1,034,686","967,945","66,741"
WIIM,"1,650",Unchnaged,0,0,164,"1,519","250,470","152,697","86,255","66,442"
BJTM,515,Unchnaged,0,0,443,"12,150","621,792","419,343","356,591","62,752"
BDMN,"4,220",Rise,70,1.68,882,"14,146","5,997,325","272,385","211,907","60,478"
CPRO,50,Unchnaged,0,0,237,"66,938","334,690","637,350","577,830","59,520"
TUGU,"1,165",Fall,20,1.68,309,"15,506","1,824,645","136,431","76,927","59,504"
RGAS,180,Fall,4,2.17,"1,292","93,008","1,679,694","703,701","649,726","53,975"
VTNY,59,Fall,1,1.66,195,"106,528","637,877","104,444","51,402","53,042"
INDF,"6,750",Rise,25,0.37,"1,636","54,084","36,551,475","1,376,635","1,324,325","52,310"
SRTG,"1,490",Fall,15,0.99,479,"3,496","522,571","203,538","151,678","51,860"
MPMX,950,Fall,5,0.52,431,"18,832","1,796,481","300,780","249,019","51,761"
GGRM,"17,000",Fall,100,0.58,"1,247","7,428","12,690,340","127,945","77,282","50,663"
PNBS,50,Unchnaged,0,0,52,904,"4,520","50,000",2,"49,998"
CNMA,86,Unchnaged,0,0,641,"70,210","597,734","139,205","89,227","49,978"
MLBI,"6,200",Rise,125,2.05,246,892,"547,745","72,031","22,467","49,564"
BIRD,"1,690",Rise,5,0.29,531,"12,862","2,169,040","154,557","105,274","49,283"
HOKI,55,Rise,1,1.85,149,"12,901","70,302","105,784","57,244","48,540"
STAA,"1,030",Fall,5,0.48,174,"19,269","1,992,087","202,090","155,119","46,971"
PGLI,187,Rise,1,0.53,14,21,385,"46,332",0,"46,332"
CBRE,655,Fall,15,2.23,815,"44,100","2,920,322","663,162","618,211","44,951"
PNIN,740,Unchnaged,0,0,20,766,"56,797","78,147","34,791","43,356"
MEDS,75,Unchnaged,0,0,"1,177","165,663","1,244,826","1,383,565","1,340,790","42,775"
KBLI,320,Unchnaged,0,0,28,911,"29,262","47,597","5,834","41,763"
PZZA,186,Fall,1,0.53,45,393,"7,312","48,466","6,959","41,507"
COAL,24,Upper limit,2,9.09,"1,215","557,959","1,327,845","48,362","8,494","39,868"
PLAN,38,Fall,1,2.56,83,"4,491","17,179","39,008",0,"39,008"
DOSS,139,Fall,1,0.71,12,113,"1,563","45,376","6,419","38,957"
DAAZ,"1,895",Fall,115,5.72,280,"3,550","680,979","66,210","27,312","38,898"
IKAN,73,Fall,1,1.35,329,"24,222","175,801","107,802","69,051","38,751"
IRRA,362,Fall,4,1.09,119,"4,011","144,616","48,771","10,228","38,543"
BRMSZPCN6A,3,Unchnaged,0,0,35,"2,875",602,"37,880",0,"37,880"
TOBA,402,Rise,2,0.5,600,"24,387","988,653","485,457","448,474","36,983"
ESTI,124,Fall,1,0.8,133,"10,286","127,337","104,901","68,153","36,748"
RMKO,302,Fall,4,1.3,233,"12,931","396,081","231,534","194,824","36,710"
RMKE,"2,200",Fall,10,0.45,"1,260","85,542","19,076,747","598,583","562,781","35,802"
BUMIZPCZ6A,6,Unchnaged,0,0,8,725,487,"33,880",0,"33,880"
PNBN,920,Fall,5,0.54,147,"13,455","1,240,965","391,582","357,750","33,832"
MEJA,79,Fall,2,2.46,238,"35,487","284,430","232,056","198,800","33,256"
LAJU,69,Rise,8,13.11,"11,660","3,004,551","21,601,721","155,226","122,059","33,167"
CUANZPCF7A,11,Unchnaged,0,0,92,"52,840","58,024","33,000",0,"33,000"
GSMF,79,Fall,2,2.46,210,"17,701","139,772","337,677","305,807","31,870"
JATI,98,Fall,4,3.92,"1,876","187,812","1,862,622","249,758","218,076","31,682"
CMNT,775,Fall,5,0.64,239,"89,192","6,939,667","816,888","785,996","30,892"
LPKR,60,Fall,1,1.63,391,"71,881","437,953","2,869,890","2,839,435","30,455"
PSKT,196,Rise,4,2.08,"1,365","138,581","2,792,709","658,116","628,572","29,544"
UNSP,218,Rise,6,2.83,24,"37,665","827,787","29,159",100,"29,059"
LEAD,107,Rise,18,20.22,"6,909","1,049,216","11,093,049","562,070","533,080","28,990"
HYGN,138,Fall,1,0.71,36,568,"7,874","31,986","4,562","27,424"
PBSA,720,Fall,20,2.7,54,"1,643","118,746","89,866","62,857","27,009"
POLA,58,Unchnaged,0,0,881,"201,126","1,237,184","75,158","48,224","26,934"
LUCK,102,Unchnaged,0,0,39,423,"4,370","39,555","12,644","26,911"
BTEK,10,Lower limit,1,9.09,507,"272,869","290,259","76,114","50,000","26,114"
UNTD,69,Fall,2,2.81,890,"142,535","998,433","90,692","65,343","25,349"
MDLA,206,Unchnaged,0,0,95,"7,830","159,222","40,263","14,978","25,285"
